"Id1","Id2","CouName1","CouName2","PolyId1","PolyId2","Length"
"035","027","Clinton","Centre",1,1,116820.880974815
"033","027","Clearfield","Centre",1,1,107549.298300139
"005","031","Armstrong","Clarion",1,1,92571.3183234049
"099","041","Perry","Cumberland",1,1,85424.6887476245
"129","063","Westmoreland","Indiana",1,1,79789.5618427755
"099","067","Perry","Juniata",1,1,78826.2392608672
"061","013","Huntingdon","Blair",1,1,76849.1313048388
"029","071","Chester","Lancaster",2,1,76576.3036438153
"003","129","Allegheny","Westmoreland",1,1,75978.5285395129
"039","049","Crawford","Erie",1,1,75356.371486331
"051","129","Fayette","Westmoreland",1,1,71216.1487858229
"133","071","York","Lancaster",1,1,70448.2317717916
"059","125","Greene","Washington",1,1,69461.797648534
"061","087","Huntingdon","Mifflin",1,1,69095.0589197247
"127","103","Wayne","Pike",1,1,68365.2396428591
"035","081","Clinton","Lycoming",1,1,66273.4406227968
"117","081","Tioga","Lycoming",1,1,64576.3351924458
"003","125","Allegheny","Washington",1,1,62598.3697240572
"009","111","Bedford","Somerset",1,1,62021.4125238327
"093","097","Montour","Northumberland",1,1,58271.3516554094
"009","057","Bedford","Fulton",1,1,58121.3167851531
"011","107","Berks","Schuylkill",1,1,57721.3747032596
"047","023","Elk","Cameron",1,1,57045.2163406645
"005","019","Armstrong","Butler",1,1,55680.1543710787
"087","067","Mifflin","Juniata",1,1,55602.7459508542
"021","013","Cambria","Blair",1,1,55496.6226788289
"029","091","Chester","Montgomery",2,1,55177.517846799
"025","079","Carbon","Luzerne",1,1,53847.7372854613
"001","133","Adams","York",1,1,52584.4325481066
"119","109","Union","Snyder",1,1,52008.5341912196
"051","111","Fayette","Somerset",1,1,51509.6457644973
"113","081","Sullivan","Lycoming",1,1,51308.3558537351
"069","127","Lackawanna","Wayne",1,1,51241.0965717888
"117","105","Tioga","Potter",1,1,50778.7766021988
"017","091","Bucks","Montgomery",1,1,50618.1781558537
"089","103","Monroe","Pike",1,1,50290.873778212
"077","095","Lehigh","Northampton",1,1,49986.5755690877
"113","015","Sullivan","Bradford",1,1,49809.3673212684
"089","025","Monroe","Carbon",1,1,49054.7910234121
"133","041","York","Cumberland",1,1,48924.7493617127
"005","063","Armstrong","Indiana",1,1,48810.7082789342
"099","043","Perry","Dauphin",1,1,48741.0933823118
"083","047","McKean","Elk",1,1,48042.3296371937
"075","043","Lebanon","Dauphin",1,1,47722.6175224372
"039","121","Crawford","Venango",1,1,47526.9917818964
"045","029","Delaware","Chester",1,2,47489.0230550244
"047","065","Elk","Jefferson",1,1,47202.0431724353
"101","091","Philadelphia","Montgomery",1,1,46459.3662940222
"053","123","Forest","Warren",1,1,46345.324471972
"037","079","Columbia","Luzerne",1,1,46025.4290001147
"053","047","Forest","Elk",1,1,46009.2120974229
"039","085","Crawford","Mercer",1,1,45578.2517990221
"009","013","Bedford","Blair",1,1,45223.7398395416
"117","015","Tioga","Bradford",1,1,45178.7751058618
"111","129","Somerset","Westmoreland",1,1,45026.8160784174
"069","079","Lackawanna","Luzerne",1,1,44881.9559139239
"083","123","McKean","Warren",1,1,44673.6267943274
"057","055","Fulton","Franklin",1,1,44500.007872664
"033","047","Clearfield","Elk",1,1,43995.444133188
"121","031","Venango","Clarion",1,1,42909.2588453946
"083","105","McKean","Potter",1,1,42368.5135984242
"061","027","Huntingdon","Centre",1,1,41482.382586323
"051","059","Fayette","Greene",1,1,41395.1299284883
"041","055","Cumberland","Franklin",1,1,41348.2518448711
"067","109","Juniata","Snyder",1,1,41214.4591186606
"021","063","Cambria","Indiana",1,1,40480.1996890216
"005","129","Armstrong","Westmoreland",1,1,40176.7282018424
"011","077","Berks","Lehigh",1,1,39914.5248766914
"127","115","Wayne","Susquehanna",1,1,39789.0796304851
"053","031","Forest","Clarion",1,1,39552.8419769987
"073","085","Lawrence","Mercer",1,1,38875.3196210603
"015","115","Bradford","Susquehanna",1,1,38646.4074546096
"003","019","Allegheny","Butler",1,1,38636.5081545077
"131","079","Wyoming","Luzerne",1,1,38331.5312923847
"033","065","Clearfield","Jefferson",1,1,38302.0468976547
"021","033","Cambria","Clearfield",1,1,38129.6879981476
"021","111","Cambria","Somerset",1,1,38095.9981837499
"075","071","Lebanon","Lancaster",1,1,38027.6400361509
"093","037","Montour","Columbia",1,1,37786.1619293206
"089","095","Monroe","Northampton",1,1,37252.6708149957
"051","125","Fayette","Washington",1,1,35776.8078720913
"085","121","Mercer","Venango",1,1,35343.0453930134
"063","065","Indiana","Jefferson",1,1,34568.3982381215
"119","097","Union","Northumberland",1,1,34549.0552698762
"131","115","Wyoming","Susquehanna",1,1,33828.5916718592
"003","007","Allegheny","Beaver",1,1,33740.6031094584
"001","041","Adams","Cumberland",1,1,33168.6665481745
"035","105","Clinton","Potter",1,1,32673.3128088496
"011","075","Berks","Lebanon",1,1,31908.4638800985
"097","109","Northumberland","Snyder",1,1,31629.9441837909
"031","065","Clarion","Jefferson",1,1,31519.7477198415
"011","071","Berks","Lancaster",1,1,30896.5219270213
"053","121","Forest","Venango",1,1,30840.6204214462
"035","023","Clinton","Cameron",1,1,30802.053292873
"107","097","Schuylkill","Northumberland",1,1,30526.1824092438
"073","007","Lawrence","Beaver",1,1,30422.1371542223
"087","027","Mifflin","Centre",1,1,29911.4983497786
"131","069","Wyoming","Lackawanna",1,1,29390.855990535
"119","027","Union","Centre",1,1,28874.2965023047
"043","097","Dauphin","Northumberland",1,1,28564.6415223588
"107","025","Schuylkill","Carbon",1,1,28342.4504511124
"011","091","Berks","Montgomery",1,1,26860.5489734088
"081","119","Lycoming","Union",1,1,26788.551352273
"061","057","Huntingdon","Fulton",1,1,26696.2005291849
"061","055","Huntingdon","Franklin",1,1,26642.8122018133
"037","107","Columbia","Schuylkill",1,1,25894.50141305
"073","019","Lawrence","Butler",1,1,25762.6084050975
"121","019","Venango","Butler",1,1,25587.6080450125
"105","023","Potter","Cameron",1,1,25466.9562717905
"039","123","Crawford","Warren",1,1,25127.7629816036
"037","097","Columbia","Northumberland",1,1,24958.3061726729
"001","055","Adams","Franklin",1,1,24907.4931134266
"045","101","Delaware","Philadelphia",1,1,23909.4388043223
"043","071","Dauphin","Lancaster",1,1,23309.6262059588
"037","081","Columbia","Lycoming",1,1,21924.2642690796
"069","115","Lackawanna","Susquehanna",1,1,21458.8822460575
"013","027","Blair","Centre",1,1,20663.8926916184
"099","055","Perry","Franklin",1,1,20550.1605943603
"033","063","Clearfield","Indiana",1,1,20338.7406920504
"007","019","Beaver","Butler",1,1,20121.2652711581
"083","023","McKean","Cameron",1,1,19622.7023467309
"053","065","Forest","Jefferson",1,1,19377.6492526969
"061","009","Huntingdon","Bedford",1,1,19231.1999055893
"131","113","Wyoming","Sullivan",1,1,19057.3561937439
"011","029","Berks","Chester",1,2,19022.6924500025
"133","043","York","Dauphin",1,1,18916.6829409211
"107","079","Schuylkill","Luzerne",1,1,18907.3928157034
"131","015","Wyoming","Bradford",1,1,18891.0840531214
"017","077","Bucks","Lehigh",1,1,18439.9146836278
"107","043","Schuylkill","Dauphin",1,1,18126.4558468284
"087","109","Mifflin","Snyder",1,1,17399.1265936198
"017","101","Bucks","Philadelphia",1,1,16812.3113597403
"049","123","Erie","Warren",1,1,16545.7500125563
"005","065","Armstrong","Jefferson",1,1,15915.7107205723
"089","069","Monroe","Lackawanna",1,1,15616.6073541222
"081","097","Lycoming","Northumberland",1,1,15330.0457001222
"021","129","Cambria","Westmoreland",1,1,14970.4106880304
"077","025","Lehigh","Carbon",1,1,14406.4949137454
"017","095","Bucks","Northampton",1,1,14124.2049192
"043","041","Dauphin","Cumberland",1,1,13983.0919374897
"085","019","Mercer","Butler",1,1,13964.9308674739
"125","129","Washington","Westmoreland",1,1,13672.5218682964
"061","067","Huntingdon","Juniata",1,1,13449.9579475987
"107","077","Schuylkill","Lehigh",1,1,13434.3179519084
"007","125","Beaver","Washington",1,1,13415.4212647213
"045","091","Delaware","Montgomery",1,1,13141.6868195643
"037","113","Columbia","Sullivan",1,1,13122.1343992823
"089","127","Monroe","Wayne",1,1,12420.8547084312
"033","023","Clearfield","Cameron",1,1,12150.6130331558
"025","095","Carbon","Northampton",1,1,12082.0372964462
"021","009","Cambria","Bedford",1,1,10849.1786314042
"107","075","Schuylkill","Lebanon",1,1,10409.4858759999
"089","079","Monroe","Luzerne",1,1,8755.20951903406
"035","033","Clinton","Clearfield",1,1,8444.0730802599
"121","123","Venango","Warren",1,1,8404.89770274768
"093","081","Montour","Lycoming",1,1,8148.96821814645
"113","079","Sullivan","Luzerne",1,1,7709.08779005474
"105","081","Potter","Lycoming",1,1,7075.93617960836
"081","015","Lycoming","Bradford",1,1,5162.13667348174
"077","091","Lehigh","Montgomery",1,1,5004.84199234615
"087","119","Mifflin","Union",1,1,4789.37570713372
"055","067","Franklin","Juniata",1,1,3982.52358502935
"035","119","Clinton","Union",1,1,2734.63807539252
"045","029","Delaware","Chester",1,1,1815.74047670451
"097","067","Northumberland","Juniata",1,1,1409.1736085001
"033","013","Clearfield","Blair",1,1,1177.37067796648
"031","019","Clarion","Butler",1,1,459.105908484378
"047","123","Elk","Warren",1,1,51.2147394494992
"003","005","Allegheny","Armstrong",1,1,29.0362586894431
