"Id1","Id2","McdFullName1","McdFullName2","Lv3Name1","Lv3Name2","PolyId1","PolyId2","Cou1Name1","Cou1Name2","Length"
"0130218400","0134432800","Altoona city","Logan township","","",1,3,"Blair","Blair",39546.7962483589
"1293120000","1293379200","Greensburg city","Hempfield township","","",1,1,"Westmoreland","Westmoreland",33757.523793201
"0712383200","0712384000","Ephrata borough","Ephrata township","","",1,3,"Lancaster","Lancaster",28827.7289327694
"0333015200","0334195200","Goshen township","Lawrence township","","",1,1,"Clearfield","Clearfield",28116.4069456704
"1117177600","1117178400","Somerset borough","Somerset township","","",1,1,"Somerset","Somerset",27247.2642361008
"0473836800","0836930400","Jones township","Sergeant township","","",1,1,"Elk","McKean",27002.5783754697
"0276673600","0331604000","Rush township","Cooper township","","",1,1,"Centre","Clearfield",26045.6822814197
"0714121600","0714689600","Lancaster city","Manheim township","","",1,10,"Lancaster","Lancaster",25420.3341245935
"0830804800","0832693600","Bradford township","Foster township","","",1,1,"McKean","McKean",24699.263160013
"0833223200","0836930400","Hamlin township","Sergeant township","","",1,1,"McKean","McKean",24470.8360361271
"0533080800","0533976000","Green township","Kingsley township","","",1,1,"Forest","Forest",23793.6371058378
"0834309600","0835563200","Liberty township","Norwich township","","",1,1,"McKean","McKean",23735.5875703819
"0394836000","0398348000","Meadville city","West Mead township","","",2,1,"Crawford","Crawford",23584.447697982
"1216556000","1216901600","Rockland township","Scrubgrass township","","",1,1,"Venango","Venango",23583.0926965658
"0853165600","0856033600","Grove City borough","Pine township","","",1,8,"Mercer","Mercer",23424.6528625366
"0715166400","0716344000","Mount Joy township","Rapho township","","",2,1,"Lancaster","Lancaster",23384.9444032015
"1211694400","1216556000","Cranberry township","Rockland township","","",1,1,"Venango","Venango",23107.3069817778
"0810928000","0814618400","Brown township","McHenry township","","",1,1,"Lycoming","Lycoming",23095.7764872004
"0433786400","0436674400","Jefferson township","Rush township","","",1,1,"Dauphin","Dauphin",22686.9006872622
"0833216800","0838431200","Hamilton township","Wetmore township","","",1,1,"McKean","McKean",22596.4841286243
"0350391200","0350499200","Bald Eagle township","Beech Creek township","","",1,1,"Clinton","Clinton",22324.9058438729
"0070082000","0073564000","Aliquippa city","Hopewell township","","",1,1,"Beaver","Beaver",22191.6910574329
"0271027200","0277160800","Burnside township","Snow Shoe township","","",1,1,"Centre","Centre",22140.9076281227
"1111080800","1114156800","Callimont borough","Larimer township","","",1,1,"Somerset","Somerset",22066.2442237503
"1131829600","1134152000","Davidson township","Laporte township","","",1,1,"Sullivan","Sullivan",21917.1998329688
"0553215200","0556740000","Hamilton township","St. Thomas township","","",1,1,"Franklin","Franklin",21840.2177725756
"1113688800","1117444000","Indian Lake borough","Stonycreek township","","",1,1,"Somerset","Somerset",21802.2508569332
"0332922400","0333015200","Girard township","Goshen township","","",1,1,"Clearfield","Clearfield",21705.2816579946
"0414483200","1332493600","Lower Allen township","Fairview township","","",1,1,"Cumberland","York",21701.9567445506
"1296939200","1297225600","Sewickley township","South Huntingdon township","","",1,1,"Westmoreland","Westmoreland",21604.515816885
"0273196000","0274936000","Haines township","Miles township","","",1,1,"Centre","Centre",21525.8305154756
"0433736800","0433786400","Jackson township","Jefferson township","","",1,1,"Dauphin","Dauphin",21409.5927183696
"0417190400","0557191200","Southampton township","Southampton township","","",1,1,"Cumberland","Franklin",21258.9869687892
"0331665600","0333878400","Covington township","Karthaus township","","",1,1,"Clearfield","Clearfield",21128.7953017852
